home_team,home_code,away_code,home_form,away_form,home_avg_goals,away_avg_goals
AFC Bournemouth,0,11,1.3653846153846154,1.3923076923076925,1.5076923076923079,1.4423076923076923
Arsenal FC,1,17,2.176923076923077,1.4230769230769231,2.076923076923077,1.5538461538461539
Aston Villa FC,2,21,1.7094339622641508,1.328301886792453,1.588679245283019,1.4867924528301886
Brentford FC,3,9,1.2862745098039214,1.3215686274509806,1.5411764705882351,1.4431372549019608
Brighton & Hove Albion FC,4,6,1.4038461538461537,1.426923076923077,1.4923076923076921,1.5230769230769232
Burnley FC,5,15,0.6827586206896552,1.4068965517241379,1.1172413793103448,1.3103448275862069
Chelsea FC,6,16,1.6538461538461537,1.4384615384615385,1.8076923076923077,1.5384615384615385
Crystal Palace FC,7,23,1.3245283018867926,1.3735849056603773,1.350943396226415,1.5245283018867923
Everton FC,8,13,1.3384615384615384,1.353846153846154,1.0884615384615386,1.4961538461538462
Fulham FC,9,2,1.328301886792453,1.4037735849056605,1.4264150943396225,1.5245283018867923
Ipswich Town FC,10,23,0.6705882352941177,1.4352941176470588,0.9882352941176471,1.6352941176470588
Leeds United FC,11,24,0.9733333333333333,1.6266666666666665,1.2,1.4133333333333333
Leicester City FC,12,10,0.7166666666666667,1.2833333333333334,1.0,1.3499999999999999
Liverpool FC,13,7,1.9924528301886795,1.309433962264151,2.0528301886792453,1.3773584905660377
Luton Town FC,14,9,0.7764705882352941,1.4823529411764707,1.423529411764706,1.6823529411764706
Manchester City FC,15,1,2.103846153846154,1.3807692307692307,2.1384615384615384,1.4884615384615385
Manchester United FC,16,3,1.3884615384615384,1.4076923076923078,1.419230769230769,1.4961538461538462
Newcastle United FC,17,0,1.5576923076923077,1.376923076923077,1.8153846153846156,1.5076923076923079
Nottingham Forest FC,18,5,1.2075471698113207,1.3735849056603773,1.2641509433962264,1.581132075471698
Sheffield United FC,19,18,0.5857142857142857,1.4857142857142858,1.0285714285714287,1.7
Southampton FC,20,1,0.39999999999999997,1.657142857142857,0.7714285714285715,1.6428571428571428
Sunderland AFC,21,18,1.3714285714285714,1.2571428571428573,1.0,1.4857142857142858
Tottenham Hotspur FC,22,4,1.2075471698113207,1.430188679245283,1.6603773584905661,1.5773584905660376
West Ham United FC,23,8,1.1622641509433962,1.3245283018867926,1.3169811320754716,1.490566037735849
Wolverhampton Wanderers FC,24,22,1.0,1.544,1.216,1.62
